Company,Job_Title,Location,Salary_INR
CloudScale,AI Engineer,Pune,643002
DeepSolutions,Prompt Engineer,Mumbai,2439287
TechNova,Backend Engineer,Mumbai,966669
CloudScale,Backend Engineer,Delhi,1229673
AI-Flow,Full Stack Developer,Delhi,985275
DeepSolutions,Prompt Engineer,Mumbai,1442475
AI-Flow,Backend Engineer,Hyderabad,908574
AI-Flow,Backend Engineer,Remote,611258
DataLogic,Prompt Engineer,Delhi,1701384
DataLogic,Full Stack Developer,Hyderabad,1778767
AI-Flow,Prompt Engineer,Bangalore,1291749
DataLogic,Backend Engineer,Pune,2025100
TechNova,Full Stack Developer,Mumbai,2095603
DataLogic,Data Scientist,Hyderabad,664476
CloudScale,Full Stack Developer,Remote,2147975
AI-Flow,Backend Engineer,Bangalore,1995305
CloudScale,Backend Engineer,Bangalore,1834095
AI-Flow,Data Scientist,Delhi,1616720
CloudScale,AI Engineer,Hyderabad,1231529
DeepSolutions,Prompt Engineer,Mumbai,1723171
TechNova,Backend Engineer,Delhi,1694915
AI-Flow,Prompt Engineer,Bangalore,1097828
AI-Flow,Full Stack Developer,Mumbai,2055435
DataLogic,AI Engineer,Pune,1964943
TechNova,Backend Engineer,Hyderabad,738901
CloudScale,Prompt Engineer,Pune,1809232
DataLogic,Data Scientist,Remote,2026974
TechNova,Prompt Engineer,Mumbai,2384803
TechNova,Prompt Engineer,Mumbai,1704392
AI-Flow,Full Stack Developer,Hyderabad,1532711
AI-Flow,Data Scientist,Pune,1447049
DataLogic,AI Engineer,Hyderabad,2323655
CloudScale,Backend Engineer,Remote,1743267
DeepSolutions,AI Engineer,Remote,1057026
AI-Flow,Data Scientist,Delhi,1479681
DataLogic,Full Stack Developer,Delhi,1232310
CloudScale,Prompt Engineer,Hyderabad,1675656
AI-Flow,Data Scientist,Bangalore,2374935
CloudScale,Prompt Engineer,Mumbai,983221
AI-Flow,AI Engineer,Pune,1311876
TechNova,Prompt Engineer,Bangalore,1312257
TechNova,AI Engineer,Hyderabad,1626492
CloudScale,AI Engineer,Delhi,1176141
TechNova,Full Stack Developer,Delhi,2456010
TechNova,Full Stack Developer,Pune,1255563
DataLogic,Prompt Engineer,Delhi,815021
AI-Flow,Data Scientist,Delhi,1530381
AI-Flow,Backend Engineer,Hyderabad,2467769
AI-Flow,Prompt Engineer,Bangalore,2393443
DataLogic,Data Scientist,Mumbai,2428989
DataLogic,AI Engineer,Mumbai,1658210
TechNova,Prompt Engineer,Pune,1261735
DataLogic,Prompt Engineer,Hyderabad,1301629
DataLogic,Backend Engineer,Mumbai,2039375
CloudScale,Full Stack Developer,Bangalore,2040672
CloudScale,Full Stack Developer,Mumbai,1258260
AI-Flow,Data Scientist,Pune,1803561
AI-Flow,Full Stack Developer,Hyderabad,2481501
DataLogic,Backend Engineer,Mumbai,1029625
DataLogic,Prompt Engineer,Pune,1001809
DeepSolutions,Full Stack Developer,Bangalore,958813
DataLogic,Prompt Engineer,Bangalore,1810602
CloudScale,Full Stack Developer,Bangalore,1291236
AI-Flow,Data Scientist,Pune,1426803
TechNova,Full Stack Developer,Delhi,812765
AI-Flow,AI Engineer,Hyderabad,1314272
CloudScale,Prompt Engineer,Bangalore,1234222
DeepSolutions,Full Stack Developer,Hyderabad,1598874
TechNova,AI Engineer,Delhi,1794086
DataLogic,Backend Engineer,Remote,683536
AI-Flow,Full Stack Developer,Remote,1536011
TechNova,Backend Engineer,Bangalore,774261
AI-Flow,Prompt Engineer,Bangalore,2463078
AI-Flow,Prompt Engineer,Hyderabad,1291859
CloudScale,Full Stack Developer,Mumbai,1308463
AI-Flow,Data Scientist,Remote,870650
DeepSolutions,AI Engineer,Mumbai,1756057
DeepSolutions,Full Stack Developer,Hyderabad,1935301
CloudScale,Data Scientist,Pune,1558606
AI-Flow,Prompt Engineer,Bangalore,1704610
DataLogic,AI Engineer,Remote,2264297
DeepSolutions,Full Stack Developer,Bangalore,1750720
TechNova,Full Stack Developer,Mumbai,896734
CloudScale,Full Stack Developer,Hyderabad,1155377
DataLogic,AI Engineer,Pune,1396969
AI-Flow,AI Engineer,Hyderabad,2254704
TechNova,Backend Engineer,Remote,2387329
DataLogic,Full Stack Developer,Hyderabad,2337523
DeepSolutions,Full Stack Developer,Hyderabad,1189886
DeepSolutions,Full Stack Developer,Bangalore,1832902
AI-Flow,Data Scientist,Mumbai,2322648
DeepSolutions,Prompt Engineer,Hyderabad,1850388
AI-Flow,Full Stack Developer,Remote,2264583
DataLogic,Prompt Engineer,Bangalore,1242924
DataLogic,Full Stack Developer,Delhi,2119486
DeepSolutions,Data Scientist,Bangalore,1382477
DeepSolutions,Data Scientist,Remote,2206709
DataLogic,Prompt Engineer,Delhi,2231900
TechNova,Data Scientist,Pune,1995217
AI-Flow,Data Scientist,Pune,2419097
AI-Flow,Data Scientist,Pune,1652674
AI-Flow,Data Scientist,Bangalore,2263009
CloudScale,AI Engineer,Hyderabad,1181695
DataLogic,Backend Engineer,Hyderabad,2345166
CloudScale,Full Stack Developer,Hyderabad,1192281
AI-Flow,Backend Engineer,Hyderabad,839858
AI-Flow,AI Engineer,Mumbai,992374
AI-Flow,Full Stack Developer,Bangalore,1223372
